weather_daytime,score mean,score std,completion mean,completion std,penalty mean,penalty std,duration mean,duration std,length mean,length std,collisions_layout mean,collisions_layout std,collisions_pedestrian mean,collisions_pedestrian std,collisions_vehicle mean,collisions_vehicle std,outside_route_lanes mean,outside_route_lanes std,red_light mean,red_light std,route_dev mean,route_dev std,route_timeout mean,route_timeout std,stop_infraction mean,stop_infraction std,vehicle_blocked mean,vehicle_blocked std
Clear-Morning,31.416775657029458,24.710908025532504,55.17451455682618,37.76591237973225,0.5886615927348772,0.12128330661252021,189.78333616132537,124.19753492692139,141.42135365230294,5.671044080422255e-06,0.3333333333333333,0.4714045207910317,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Clear-Night,2.726326104386905,0.5585852274789989,76.30216191906378,18.87489601555353,0.038427335037978995,0.012034716456654009,254.33333712319532,96.36721866028412,141.42135376469443,2.225240031617204e-06,0.6666666666666666,0.9428090415820634,0.0,0.0,4.333333333333333,0.9428090415820634,1.0,0.0,2.0,1.4142135623730951,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.3333333333333333,0.4714045207910317
Clear-Twilight,39.7871104489802,42.6106152984604,83.47979103688652,23.363103568872646,0.4363717057444502,0.4036656583028256,101.06666817267735,14.238465329199972,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,2.0,1.632993161855452,0.6666666666666666,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Cloudy-Morning,44.681140528516316,39.68220906381382,100.0,0.0,0.4468114052851631,0.3968220906381383,85.45000127330422,13.364567781627253,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,2.0,1.632993161855452,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloudy-Night,43.21728305020841,40.89321176326202,55.17451455682618,37.76591237973225,0.7066666666666667,0.23683092891108815,188.65000281110406,122.66432019304428,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Cloudy-Twilight,29.883949716875076,22.662844890762745,55.17451455682618,37.76591237973225,0.5733333333333333,0.11585431464655177,188.98333614940444,124.39894566842624,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317,0.0,0.0,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Rain-Morning,43.7257768045684,40.4049639658561,83.13500554498454,23.8507038876299,0.46115601790012134,0.3832037784150285,96.01666809742649,21.66753876687158,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,1.6666666666666667,1.247219128924647,0.6666666666666666,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Rain-Night,3.974827373557843,2.443691966547056,69.20471524883838,43.551109352234135,0.2553152669937098,0.3152421411581198,180.6000026911497,119.45020758415068,141.42135533817677,3.36424672662671e-06,0.0,0.0,0.0,0.0,3.6666666666666665,3.8586123009300755,0.3333333333333333,0.4714045207910317,2.3333333333333335,1.8856180831641267,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Rain-Twilight,18.07043036652956,9.468644712749896,64.50641022854198,26.69786305749755,0.26789559107555055,0.11823883046570301,210.63333647201458,118.76919203206997,141.42135556295992,9.536743134829318e-07,0.3333333333333333,0.4714045207910317,0.0,0.0,2.0,0.816496580927726,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
